id,transmit_time,created_date,imei,momsn,message_version,software_version,bridge_voltage,bridge_temperature,bridge_humidity,bridge_pressure,inference_class,inference_accuracy,image_datetime
4318,21/06/2016 10:42,2021-06-16 10:42:43.363204+00:00,300434065167630,5,6,4,3113,28,84,986,Other,0.4941,01/01/2019 00:24
4318,21/06/2016 10:42,2021-06-16 10:42:43.363204+00:00,300434065167630,5,6,4,3113,28,84,986,Human,0.8549,01/01/2019 00:28
4318,21/06/2016 10:42,2021-06-16 10:42:43.363204+00:00,300434065167630,5,6,4,3113,28,84,986,Elephant_African,0.4431,01/01/2019 00:28
4318,21/06/2016 10:42,2021-06-16 10:42:43.363204+00:00,300434065167630,5,6,4,3113,28,84,986,Human,0.8824,01/01/2019 00:35
4318,21/06/2016 10:42,2021-06-16 10:42:43.363204+00:00,300434065167630,5,6,4,3113,28,84,986,Human,0.7059,01/01/2019 00:36
4318,21/06/2016 10:42,2021-06-16 10:42:43.363204+00:00,300434065167630,5,6,4,3113,28,84,986,Human,0.4863,01/01/2019 00:36
4318,21/06/2016 10:42,2021-06-16 10:42:43.363204+00:00,300434065167630,5,6,4,3113,28,84,986,Human,0.8745,13/06/2021 16:59
4318,21/06/2016 10:42,2021-06-16 10:42:43.363204+00:00,300434065167630,5,6,4,3113,28,84,986,Other,0.5647,13/06/2021 16:59
4318,21/06/2016 10:42,2021-06-16 10:42:43.363204+00:00,300434065167630,5,6,4,3113,28,84,986,Elephant_African,0.651,13/06/2021 17:00
4318,21/06/2016 10:42,2021-06-16 10:42:43.363204+00:00,300434065167630,5,6,4,3113,28,84,986,Human,0.6392,13/06/2021 17:00
4318,21/06/2016 10:42,2021-06-16 10:42:43.363204+00:00,300434065167630,5,6,4,3113,28,84,986,Human,0.8549,16/06/2021 11:32
4318,21/06/2016 10:42,2021-06-16 10:42:43.363204+00:00,300434065167630,5,6,4,3113,28,84,986,Human,0.902,16/06/2021 11:41
4257,21/06/2013 07:53,2021-06-13 07:53:27.576049+00:00,300434065263510,3,6,4,3469,28,65,984,Other,0.4941,01/01/2019 00:24
4262,21/06/2013 08:05,2021-06-13 08:05:44.578731+00:00,300434065263510,4,6,4,3468,30,60,984,Human,0.9294,01/01/2019 00:27
4262,21/06/2013 08:05,2021-06-13 08:05:44.578731+00:00,300434065263510,4,6,4,3468,30,60,984,Other,0.4863,01/01/2019 00:28
4262,21/06/2013 08:05,2021-06-13 08:05:44.578731+00:00,300434065263510,4,6,4,3468,30,60,984,Human,0.8549,01/01/2019 00:28
4262,21/06/2013 08:05,2021-06-13 08:05:44.578731+00:00,300434065263510,4,6,4,3468,30,60,984,Elephant_African,0.4431,01/01/2019 00:28
4262,21/06/2013 08:05,2021-06-13 08:05:44.578731+00:00,300434065263510,4,6,4,3468,30,60,984,Human,0.8824,01/01/2019 00:35
4262,21/06/2013 08:05,2021-06-13 08:05:44.578731+00:00,300434065263510,4,6,4,3468,30,60,984,Human,0.7059,01/01/2019 00:36
4262,21/06/2013 08:05,2021-06-13 08:05:44.578731+00:00,300434065263510,4,6,4,3468,30,60,984,Human,0.4863,01/01/2019 00:36
4307,21/06/2015 14:40,2021-06-15 14:40:49.987457+00:00,300434065263510,6,6,4,3461,36,21,968,Human,0.5608,13/06/2021 17:18
4307,21/06/2015 14:40,2021-06-15 14:40:49.987457+00:00,300434065263510,6,6,4,3461,36,21,968,Elephant_African,0.6392,13/06/2021 17:45
4307,21/06/2015 14:40,2021-06-15 14:40:49.987457+00:00,300434065263510,6,6,4,3461,36,21,968,Elephant_African,0.5765,14/06/2021 06:23
4306,21/06/2015 14:31,2021-06-15 14:31:54.542725+00:00,300434065263510,5,6,4,3461,36,22,967,Elephant_African,0.7882,14/06/2021 06:27
4306,21/06/2015 14:31,2021-06-15 14:31:54.542725+00:00,300434065263510,5,6,4,3461,36,22,967,Elephant_African,0.6431,14/06/2021 15:19
4306,21/06/2015 14:31,2021-06-15 14:31:54.542725+00:00,300434065263510,5,6,4,3461,36,22,967,Elephant_African,0.9137,14/06/2021 16:57
4306,21/06/2015 14:31,2021-06-15 14:31:54.542725+00:00,300434065263510,5,6,4,3461,36,22,967,Other,0.6235,15/06/2021 05:04
4306,21/06/2015 14:31,2021-06-15 14:31:54.542725+00:00,300434065263510,5,6,4,3461,36,22,967,Elephant_African,0.6941,15/06/2021 08:42
4306,21/06/2015 14:31,2021-06-15 14:31:54.542725+00:00,300434065263510,5,6,4,3461,36,22,967,Elephant_African,0.9098,15/06/2021 08:42
4306,21/06/2015 14:31,2021-06-15 14:31:54.542725+00:00,300434065263510,5,6,4,3461,36,22,967,Other,0.502,15/06/2021 08:43
4306,21/06/2015 14:31,2021-06-15 14:31:54.542725+00:00,300434065263510,5,6,4,3461,36,22,967,Other,0.8784,15/06/2021 13:30
4306,21/06/2015 14:31,2021-06-15 14:31:54.542725+00:00,300434065263510,5,6,4,3461,36,22,967,Elephant_African,0.5647,15/06/2021 13:30
4306,21/06/2015 14:31,2021-06-15 14:31:54.542725+00:00,300434065263510,5,6,4,3461,36,22,967,Human,0.8549,15/06/2021 14:07
4306,21/06/2015 14:31,2021-06-15 14:31:54.542725+00:00,300434065263510,5,6,4,3461,36,22,967,Human,0.9216,15/06/2021 15:27
4307,21/06/2015 14:40,2021-06-15 14:40:49.987457+00:00,300434065263510,6,6,4,3461,36,21,968,Human,0.9059,15/06/2021 15:35
4308,21/06/2015 14:58,2021-06-15 14:59:04.069210+00:00,300434065263510,7,6,4,3455,32,53,985,Human,0.902,15/06/2021 15:56
4310,21/06/2015 16:27,2021-06-15 16:28:32.155344+00:00,300434065263510,8,6,4,3461,28,28,971,Human,0.9216,15/06/2021 15:58
4310,21/06/2015 16:27,2021-06-15 16:28:32.155344+00:00,300434065263510,8,6,4,3461,28,28,971,Human,0.8588,15/06/2021 15:58
4310,21/06/2015 16:27,2021-06-15 16:28:32.155344+00:00,300434065263510,8,6,4,3461,28,28,971,Human,0.8353,15/06/2021 16:05
4310,21/06/2015 16:27,2021-06-15 16:28:32.155344+00:00,300434065263510,8,6,4,3461,28,28,971,Other,0.651,15/06/2021 16:19
4310,21/06/2015 16:27,2021-06-15 16:28:32.155344+00:00,300434065263510,8,6,4,3461,28,28,971,Other,0.5529,15/06/2021 16:22
4310,21/06/2015 16:27,2021-06-15 16:28:32.155344+00:00,300434065263510,8,6,4,3461,28,28,971,Elephant_African,0.5294,15/06/2021 17:24
4312,21/06/2016 05:40,2021-06-16 05:40:42.041425+00:00,300434065263510,9,6,4,3462,24,24,982,Elephant_African,0.6667,16/06/2021 06:14
4312,21/06/2016 05:40,2021-06-16 05:40:42.041425+00:00,300434065263510,9,6,4,3462,24,24,982,Elephant_African,0.9059,16/06/2021 06:14
4312,21/06/2016 05:40,2021-06-16 05:40:42.041425+00:00,300434065263510,9,6,4,3462,24,24,982,Elephant_African,0.6392,16/06/2021 06:15
4312,21/06/2016 05:40,2021-06-16 05:40:42.041425+00:00,300434065263510,9,6,4,3462,24,24,982,Elephant_African,0.9098,16/06/2021 06:15
