id,transmit_time,created_date,imei,momsn,message_version,software_version,bridge_voltage,bridge_temperature,bridge_humidity,bridge_pressure,inference_class,inference_accuracy,image_datetime
4257,21-06-13 07:53:17,2021-06-13 07:53:27.576049+00:00,300434065263510,3,6,4,3469,28,65,984,Other,0.4941,2019-01-01 00:24:50
4258,21-06-13 07:53:18,2021-06-13 07:53:28.076608+00:00,300434065267610,2,6,4,3190,28,72,984,Other,0.4941,2019-01-01 00:24:50
4259,21-06-13 07:53:19,2021-06-13 07:53:29.166187+00:00,300434065265500,3,6,4,3256,28,100,984,Other,0.4941,2019-01-01 00:24:50
4260,21-06-13 07:53:26,2021-06-13 07:53:30.373144+00:00,300434065263620,1,6,4,3447,28,69,984,Other,0.4941,2019-01-01 00:24:50
4261,21-06-13 08:05:27,2021-06-13 08:05:32.198205+00:00,300434065265500,4,6,4,3254,31,100,984,Human,0.9294,2019-01-01 00:27:51
4261,21-06-13 08:05:27,2021-06-13 08:05:32.198205+00:00,300434065265500,4,6,4,3254,31,100,984,Other,0.4863,2019-01-01 00:28:06
4261,21-06-13 08:05:27,2021-06-13 08:05:32.198205+00:00,300434065265500,4,6,4,3254,31,100,984,Human,0.8549,2019-01-01 00:28:28
4261,21-06-13 08:05:27,2021-06-13 08:05:32.198205+00:00,300434065265500,4,6,4,3254,31,100,984,Elephant_African,0.4431,2019-01-01 00:28:38
4261,21-06-13 08:05:27,2021-06-13 08:05:32.198205+00:00,300434065265500,4,6,4,3254,31,100,984,Human,0.8824,2019-01-01 00:35:19
4261,21-06-13 08:05:27,2021-06-13 08:05:32.198205+00:00,300434065265500,4,6,4,3254,31,100,984,Human,0.7059,2019-01-01 00:36:21
4261,21-06-13 08:05:27,2021-06-13 08:05:32.198205+00:00,300434065265500,4,6,4,3254,31,100,984,Human,0.4863,2019-01-01 00:36:45
4262,21-06-13 08:05:40,2021-06-13 08:05:44.578731+00:00,300434065263510,4,6,4,3468,30,60,984,Human,0.9294,2019-01-01 00:27:51
4262,21-06-13 08:05:40,2021-06-13 08:05:44.578731+00:00,300434065263510,4,6,4,3468,30,60,984,Other,0.4863,2019-01-01 00:28:06
4262,21-06-13 08:05:40,2021-06-13 08:05:44.578731+00:00,300434065263510,4,6,4,3468,30,60,984,Human,0.8549,2019-01-01 00:28:28
4262,21-06-13 08:05:40,2021-06-13 08:05:44.578731+00:00,300434065263510,4,6,4,3468,30,60,984,Elephant_African,0.4431,2019-01-01 00:28:38
4262,21-06-13 08:05:40,2021-06-13 08:05:44.578731+00:00,300434065263510,4,6,4,3468,30,60,984,Human,0.8824,2019-01-01 00:35:19
4262,21-06-13 08:05:40,2021-06-13 08:05:44.578731+00:00,300434065263510,4,6,4,3468,30,60,984,Human,0.7059,2019-01-01 00:36:21
4262,21-06-13 08:05:40,2021-06-13 08:05:44.578731+00:00,300434065263510,4,6,4,3468,30,60,984,Human,0.4863,2019-01-01 00:36:45
4263,21-06-13 08:05:47,2021-06-13 08:05:51.683810+00:00,300434065263620,2,6,4,3448,31,59,984,Human,0.9294,2019-01-01 00:27:51
4263,21-06-13 08:05:47,2021-06-13 08:05:51.683810+00:00,300434065263620,2,6,4,3448,31,59,984,Other,0.4863,2019-01-01 00:28:06
4263,21-06-13 08:05:47,2021-06-13 08:05:51.683810+00:00,300434065263620,2,6,4,3448,31,59,984,Human,0.8549,2019-01-01 00:28:28
4263,21-06-13 08:05:47,2021-06-13 08:05:51.683810+00:00,300434065263620,2,6,4,3448,31,59,984,Elephant_African,0.4431,2019-01-01 00:28:38
4263,21-06-13 08:05:47,2021-06-13 08:05:51.683810+00:00,300434065263620,2,6,4,3448,31,59,984,Human,0.8824,2019-01-01 00:35:19
4263,21-06-13 08:05:47,2021-06-13 08:05:51.683810+00:00,300434065263620,2,6,4,3448,31,59,984,Human,0.7059,2019-01-01 00:36:21
4263,21-06-13 08:05:47,2021-06-13 08:05:51.683810+00:00,300434065263620,2,6,4,3448,31,59,984,Human,0.4863,2019-01-01 00:36:45
4264,21-06-13 08:06:48,2021-06-13 08:06:52.681389+00:00,300434065268620,1,6,4,3152,30,72,985,Other,0.4941,2019-01-01 00:24:50
4264,21-06-13 08:06:48,2021-06-13 08:06:52.681389+00:00,300434065268620,1,6,4,3152,30,72,985,Human,0.9294,2019-01-01 00:27:51
4264,21-06-13 08:06:48,2021-06-13 08:06:52.681389+00:00,300434065268620,1,6,4,3152,30,72,985,Other,0.4863,2019-01-01 00:28:06
4264,21-06-13 08:06:48,2021-06-13 08:06:52.681389+00:00,300434065268620,1,6,4,3152,30,72,985,Human,0.8549,2019-01-01 00:28:28
4264,21-06-13 08:06:48,2021-06-13 08:06:52.681389+00:00,300434065268620,1,6,4,3152,30,72,985,Elephant_African,0.4431,2019-01-01 00:28:38
4264,21-06-13 08:06:48,2021-06-13 08:06:52.681389+00:00,300434065268620,1,6,4,3152,30,72,985,Human,0.8824,2019-01-01 00:35:19
4264,21-06-13 08:06:48,2021-06-13 08:06:52.681389+00:00,300434065268620,1,6,4,3152,30,72,985,Human,0.7059,2019-01-01 00:36:21
4264,21-06-13 08:06:48,2021-06-13 08:06:52.681389+00:00,300434065268620,1,6,4,3152,30,72,985,Human,0.4863,2019-01-01 00:36:45
4265,21-06-13 10:22:10,2021-06-13 10:22:20.677305+00:00,300434065267610,3,6,4,3166,30,63,984,Human,0.8667,2019-01-01 02:53:35
4266,21-06-13 10:34:54,2021-06-13 10:35:00.263994+00:00,300434065267610,4,6,4,3192,31,42,985,Human,0.5294,2019-01-01 02:56:23
4266,21-06-13 10:34:54,2021-06-13 10:35:00.263994+00:00,300434065267610,4,6,4,3192,31,42,985,Human,0.8078,2019-01-01 03:00:20
4266,21-06-13 10:34:54,2021-06-13 10:35:00.263994+00:00,300434065267610,4,6,4,3192,31,42,985,Human,0.4941,2019-01-01 03:00:31
4266,21-06-13 10:34:54,2021-06-13 10:35:00.263994+00:00,300434065267610,4,6,4,3192,31,42,985,Elephant_African,0.498,2019-01-01 03:05:57
4267,21-06-13 10:54:53,2021-06-13 10:55:01.713971+00:00,300434065267610,5,6,4,3171,31,36,982,Elephant_African,0.5804,2019-01-01 03:12:31
4267,21-06-13 10:54:53,2021-06-13 10:55:01.713971+00:00,300434065267610,5,6,4,3171,31,36,982,Elephant_African,0.8196,2019-01-01 03:26:25
4268,21-06-13 11:08:26,2021-06-13 11:08:29.782548+00:00,300434065267610,6,6,4,3162,31,41,984,Elephant_African,0.6471,2019-01-01 03:39:12
4268,21-06-13 11:08:26,2021-06-13 11:08:29.782548+00:00,300434065267610,6,6,4,3162,31,41,984,Elephant_African,0.7529,2019-01-01 03:39:23
4268,21-06-13 11:08:26,2021-06-13 11:08:29.782548+00:00,300434065267610,6,6,4,3162,31,41,984,Human,0.8941,2019-01-01 03:39:46
4269,21-06-13 11:29:53,2021-06-13 11:30:01.431237+00:00,300434065267610,7,6,4,3190,31,34,982,Elephant_African,0.7725,2019-01-01 03:55:36
4269,21-06-13 11:29:53,2021-06-13 11:30:01.431237+00:00,300434065267610,7,6,4,3190,31,34,982,Human,0.8745,2019-01-01 03:55:47
4269,21-06-13 11:29:53,2021-06-13 11:30:01.431237+00:00,300434065267610,7,6,4,3190,31,34,982,Human,0.9216,2019-01-01 03:56:13
4269,21-06-13 11:29:53,2021-06-13 11:30:01.431237+00:00,300434065267610,7,6,4,3190,31,34,982,Human,0.9216,2019-01-01 03:56:24
4269,21-06-13 11:29:53,2021-06-13 11:30:01.431237+00:00,300434065267610,7,6,4,3190,31,34,982,Human,0.9216,2019-01-01 03:56:43
4269,21-06-13 11:29:53,2021-06-13 11:30:01.431237+00:00,300434065267610,7,6,4,3190,31,34,982,Human,0.9216,2019-01-01 03:56:46
4269,21-06-13 11:29:53,2021-06-13 11:30:01.431237+00:00,300434065267610,7,6,4,3190,31,34,982,Human,0.9294,2019-01-01 03:56:52
4269,21-06-13 11:29:53,2021-06-13 11:30:01.431237+00:00,300434065267610,7,6,4,3190,31,34,982,Elephant_African,0.5333,2021-06-13 12:29:18
4269,21-06-13 11:29:53,2021-06-13 11:30:01.431237+00:00,300434065267610,7,6,4,3190,31,34,982,Elephant_African,0.5686,2021-06-13 12:31:04
4270,21-06-13 11:37:38,2021-06-13 11:37:42.076226+00:00,300434065267610,8,6,4,3169,32,32,984,Elephant_African,0.5137,2021-06-13 12:34:56
4270,21-06-13 11:37:38,2021-06-13 11:37:42.076226+00:00,300434065267610,8,6,4,3169,32,32,984,Human,0.8902,2021-06-13 12:35:06
4270,21-06-13 11:37:38,2021-06-13 11:37:42.076226+00:00,300434065267610,8,6,4,3169,32,32,984,Human,0.5686,2021-06-13 12:35:17
4270,21-06-13 11:37:38,2021-06-13 11:37:42.076226+00:00,300434065267610,8,6,4,3169,32,32,984,Elephant_African,0.5294,2021-06-13 12:35:27
4270,21-06-13 11:37:38,2021-06-13 11:37:42.076226+00:00,300434065267610,8,6,4,3169,32,32,984,Human,0.5529,2021-06-13 12:36:54
4270,21-06-13 11:37:38,2021-06-13 11:37:42.076226+00:00,300434065267610,8,6,4,3169,32,32,984,Human,0.8941,2021-06-13 12:37:04
4271,21-06-13 11:48:16,2021-06-13 11:48:20.585860+00:00,300434065267610,9,6,4,3177,32,30,984,Human,0.5294,2021-06-13 12:39:55
4271,21-06-13 11:48:16,2021-06-13 11:48:20.585860+00:00,300434065267610,9,6,4,3177,32,30,984,Human,0.549,2021-06-13 12:41:11
4271,21-06-13 11:48:16,2021-06-13 11:48:20.585860+00:00,300434065267610,9,6,4,3177,32,30,984,Human,0.6549,2021-06-13 12:47:50
4272,21-06-13 11:56:30,2021-06-13 11:56:35.974185+00:00,300434065267610,10,6,4,3179,33,29,984,Human,0.498,2021-06-13 12:52:34
4272,21-06-13 11:56:30,2021-06-13 11:56:35.974185+00:00,300434065267610,10,6,4,3179,33,29,984,Human,0.8706,2021-06-13 12:56:14
4273,21-06-13 12:09:25,2021-06-13 12:09:31.255887+00:00,300434065267610,11,6,4,3165,32,29,982,Human,0.9176,2021-06-13 13:08:26
4274,21-06-13 12:18:48,2021-06-13 12:18:53.360819+00:00,300434065267610,12,6,4,3190,33,29,982,Human,0.5333,2021-06-13 13:17:37
4274,21-06-13 12:18:48,2021-06-13 12:18:53.360819+00:00,300434065267610,12,6,4,3190,33,29,982,Elephant_African,0.5882,2021-06-13 13:19:15
4275,21-06-13 12:26:45,2021-06-13 12:26:51.068346+00:00,300434065267610,13,6,4,3183,33,28,983,Human,0.6353,2021-06-13 13:26:16
